# Kolízne kódy – kód vedie viac dodávateľov. Tu je určený JEDINÝ vlastník.
# Ostatné feedy tento kód preskočia. Formát: kod;Dodavatel
# Vlastníka zmeníš prepísaním mena za bodkočiarkou. Riadky s # sa ignorujú.

15050;Cyklomax    # sklad 50 | ostatní: Kenny=0
15110;Cyklomax    # sklad 50 | ostatní: Sloger=17
20004;Kenny    # sklad 4 | ostatní: Cyklomax=3
20015;Cyklomax    # sklad 6 | ostatní: Kenny=0
20051;Kenny    # sklad 5 | ostatní: Cyklomax=1
20052;Kenny    # sklad 15 | ostatní: Sloger=4
20053;Kenny    # sklad 4 | ostatní: Sloger=0
20332;Kenny    # sklad 30 | ostatní: Sloger=0
21001;Cyklomax    # sklad 24 | ostatní: Kenny=17
21500;Kenny    # sklad 53 | ostatní: Cyklomax=50
21560;Cyklomax    # sklad 10 | ostatní: Sloger=1
21562;Sloger    # sklad 2 | ostatní: Cyklomax=0
22006;Cyklomax    # sklad 100 | ostatní: Sloger=0
220100;Cyklomax    # sklad 100 | ostatní: Sloger=0
220101;Cyklomax    # sklad 100 | ostatní: Sloger=0
220103;Cyklomax    # sklad 26 | ostatní: Sloger=1
220105;Cyklomax    # sklad 100 | ostatní: Sloger=0
220109;Cyklomax    # sklad 100 | ostatní: Sloger=0
220112;Cyklomax    # sklad 100 | ostatní: Sloger=0
22018;Cyklomax    # sklad 1000 | ostatní: Sloger=11
22019;Cyklomax    # sklad 100 | ostatní: Sloger=44
22022;Cyklomax    # sklad 100 | ostatní: Sloger=0
22302;Cyklomax    # sklad 100 | ostatní: Sloger=0
23020;Cyklomax    # sklad 50 | ostatní: Sloger=0
23056;Sloger    # sklad 112 | ostatní: Cyklomax=5
23057;Sloger    # sklad 91 | ostatní: Cyklomax=4
23062;Sloger    # sklad 24 | ostatní: Cyklomax=10
236071;Cyklomax    # sklad 100 | ostatní: Sloger=3
23635;Cyklomax    # sklad 500 | ostatní: Sloger=7
23637;Cyklomax    # sklad 500 | ostatní: Sloger=3
23645;Cyklomax    # sklad 21 | ostatní: Sloger=10
23647;Cyklomax    # sklad 100 | ostatní: Sloger=7
23652;Cyklomax    # sklad 100 | ostatní: Sloger=29
236522;Cyklomax    # sklad 100 | ostatní: Sloger=11
23681;Cyklomax    # sklad 100 | ostatní: Sloger=2
23686;Cyklomax    # sklad 100 | ostatní: Sloger=6
23687;Cyklomax    # sklad 100 | ostatní: Sloger=1
23689;Cyklomax    # sklad 100 | ostatní: Sloger=9
23693;Cyklomax    # sklad 500 | ostatní: Sloger=4
23838;Sloger    # sklad 0 | ostatní: Cyklomax=0
23852;Cyklomax    # sklad 12 | ostatní: Sloger=0
23873;Cyklomax    # sklad 100 | ostatní: Sloger=11
23875;Cyklomax    # sklad 100 | ostatní: Sloger=8
23884;Cyklomax    # sklad 100 | ostatní: Sloger=1
23887;Cyklomax    # sklad 50 | ostatní: Sloger=11
240551;Cyklomax    # sklad 14 | ostatní: Sloger=0
24081;Cyklomax    # sklad 3 | ostatní: Sloger=2
24165;Cyklomax    # sklad 50 | ostatní: Sloger=13
24169;Cyklomax    # sklad 47 | ostatní: Sloger=21
27320;Cyklomax    # sklad 1 | ostatní: Kenny=0
28120;Kenny    # sklad 31 | ostatní: Cyklomax=4
28170;Cyklomax    # sklad 47 | ostatní: Kenny=1
28171;Cyklomax    # sklad 17 | ostatní: Kenny=1
28173;Kenny    # sklad 3 | ostatní: Cyklomax=0
28174;Cyklomax    # sklad 100 | ostatní: Kenny=3
28176;Cyklomax    # sklad 25 | ostatní: Kenny=0
28177;Cyklomax    # sklad 5 | ostatní: Kenny=4
28178;Cyklomax    # sklad 26 | ostatní: Kenny=6
28179;Cyklomax    # sklad 9 | ostatní: Kenny=6
28180;Cyklomax    # sklad 50 | ostatní: Kenny=6
28380;Cyklomax    # sklad 4 | ostatní: Kenny=0
28405;Kenny    # sklad 12 | ostatní: Cyklomax=6
28406;Kenny    # sklad 12 | ostatní: Cyklomax=0
28407;Kenny    # sklad 12 | ostatní: Cyklomax=0
28408;Cyklomax    # sklad 46 | ostatní: Kenny=0
28409;Cyklomax    # sklad 100 | ostatní: Kenny=0
28572;Cyklomax    # sklad 500 | ostatní: Kenny=0
28919;Kenny    # sklad 8 | ostatní: Cyklomax=8
28920;Cyklomax    # sklad 100 | ostatní: Kenny=20
28958;Kenny    # sklad 12 | ostatní: Cyklomax=9
28959;Kenny    # sklad 12 | ostatní: Cyklomax=9
29660;Cyklomax    # sklad 38 | ostatní: Kenny=9
30001;Cyklomax    # sklad 11 | ostatní: Kenny=7
301005;Cyklomax    # sklad 100 | ostatní: Sloger=4
301055;Cyklomax    # sklad 100 | ostatní: Sloger=4
301077;Cyklomax    # sklad 500 | ostatní: Sloger=1
3018697;Cyklomax    # sklad 20 | ostatní: Sloger=2
30652;Cyklomax    # sklad 50 | ostatní: Sloger=0
50403;Cyklomax    # sklad 18 | ostatní: Kenny=8
74002;Sloger    # sklad 60 | ostatní: Kenny=33
